VoxCeleb2 ID,VGGFace2 ID,Gender,Set
id00017,n000017,m,test
id00061,n000061,m,test
id00081,n000081,m,test
id00154,n000154,m,test
id00419,n000419,f,test
id00562,n000562,m,test
id00812,n000812,f,test
id00817,n000817,m,test
id00866,n000866,m,test
id00926,n000926,m,test
id01000,n001000,f,test
id01041,n001041,m,test
id01066,n001066,m,test
id01106,n001106,m,test
id01224,n001224,f,test
id01228,n001228,f,test
id01298,n001298,m,test
id01333,n001333,f,test
id01437,n001437,m,test
id01460,n001459,f,test
id01509,n001509,m,test
id01541,n001540,m,test
id01567,n001566,f,test
id01593,n001592,m,test
id01618,n001617,f,test
id01822,n001821,m,test
id01892,n001891,m,test
id01989,n001988,m,test
id02019,n002018,m,test
id02057,n002056,m,test
id02086,n002085,f,test
id02181,n002180,f,test
id02286,n002285,f,test
id02317,n002316,m,test
id02445,n002444,f,test
id02465,n002464,f,test
id02542,n002541,m,test
id02548,n002547,f,test
id02576,n002575,m,test
id02577,n002576,m,test
id02685,n002684,m,test
id02725,n002724,f,test
id02745,n002744,m,test
id03030,n003029,m,test
id03041,n003040,m,test
id03127,n003126,f,test
id03178,n003177,m,test
id03347,n003346,m,test
id03382,n003381,f,test
id03524,n003523,m,test
id03677,n003676,m,test
id03789,n003788,m,test
id03839,n003838,m,test
id03862,n003861,m,test
id03969,n003968,f,test
id03978,n003977,f,test
id03980,n003979,f,test
id03981,n003980,f,test
id04006,n004005,m,test
id04030,n004029,f,test
id04094,n004093,m,test
id04119,n004122,m,test
id04232,n004231,m,test
id04253,n004251,m,test
id04276,n004275,m,test
id04295,n004294,m,test
id04366,n004365,m,test
id04478,n004477,m,test
id04536,n004535,m,test
id04570,n004569,f,test
